Country_Ch,Country_En,2001_total,2002_total,2003_total,2004_total,2005_total,2006_total,2007_total,2008_total,2009_total,2010_total,2011_total,2012_total,2013_total,2014_total
印尼,Indonesia,747.7,593.48,378.55,593.49,593.49,593.49,593.49,593.49,593.49,593.49,593.49,593.49,593.49,593.49
巴西,Brazil,357307.03,2377.6,2191.97,2377.61,2377.61,2377.61,2377.61,2377.61,2377.61,2377.61,2377.61,2377.61,2377.61,2377.61
墨西哥,Mexico,36160.49,106.82,102.08,106.82,106.82,106.82,106.82,106.82,106.82,106.82,106.82,106.82,106.82,106.82
秘魯,Peru,54377.78,56.05,51.47,56.05,56.05,56.05,56.05,56.05,56.05,56.05,56.05,56.05,56.05,56.05
哥倫比亞,Colombia,56570.41,125.74,83.64,125.74,125.74,125.74,125.74,125.74,125.74,125.74,125.74,125.74,125.74,125.74
剛果民主共和國,Democratic Republic of the Congo,136206.56,345.35,181.6,345.35,345.35,345.35,345.35,345.35,345.35,345.35,345.35,345.35,345.35,345.35
印度,India,26545.89,35.3,31.71,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31
委內瑞拉,Venezuela,39139.16,60.39,58.86,60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4
玻利維亞,Bolivia,43280.77,121.5,112.28,121.5,121.5,121.5,121.5,121.5,121.5,121.5,121.5,121.5,121.5,121.5
緬甸,Myanmar,28689.55,43.99,51.37,43.99,43.99,43.99,43.99,43.99,43.99,43.99,43.99,43.99,43.99,43.99
安哥拉,Angola,39911.22,39.17,34.68,39.17,39.17,39.17,39.17,39.17,39.17,39.17,39.17,39.17,39.17,39.17
巴布亞新幾內亞,Papua New Guinea,29817.62,37.93,22.17,37.94,37.94,37.94,37.94,37.94,37.94,37.94,37.94,37.94,37.94,37.94
