Country_Ch,Country_En,2000_total,2001_total,2002_total,2003_total,2004_total,2005_total,2006_total,2007_total,2008_total,2009_total,2010_total,2011_total,2012_total,2013_total,2014_total
巴西,Brazil,357307.02,355029.28,352651.68,350459.71,347849.68,345476.33,343527.94,341766.66,340118.94,338903.62,337098.13,335806.84,333851.15,332539.42,330723.9
剛果民主共和國,Democratic Republic of the Congo,274546.76,274234.46,273889.11,273707.51,273438.68,273111.62,272804.69,272493.31,272221.71,271792.67,271246.95,270959.76,270539.8,269915.96,269017.93
印尼,Indonesia,192112.61,191364.91,190771.43,190392.88,189499.08,188678.2,187686.12,186724.91,185757.65,184408.67,183519.16,182446.9,180879.22,180094.14,178792.45
哥倫比亞,Colombia,136206.55,136062.12,135936.38,135852.74,135678.01,135548.07,135417.44,135232.18,135072.36,134908.72,134772.42,134641.09,134484.16,134388.05,134248.54
秘魯,Peru,111230.31,111159.24,111103.19,111051.72,110981.06,110867.42,110805.43,110724.66,110636.29,110512.13,110412.81,110325.39,110133.32,109987.49,109844.48
玻利維亞,Bolivia,107016.35,106881.01,106759.51,106647.23,106510.03,106339.63,106192.76,106062.71,105815.12,105664.26,105357.15,105134.24,104948.2,104829.07,104656.73
安哥拉,Angola,56570.38,56488.59,56449.42,56414.74,56367.6,56305.18,56254.1,56153.07,56081.81,55963.47,55861.11,55734.5,55613.72,55493.73,55349.41
委內瑞拉,Venezuela,54377.75,54307.41,54247.02,54188.16,54127.25,54063.63,54006.58,53929.68,53849.44,53754.68,53685.96,53635.75,53564.34,53520.45,53451.9
墨西哥,Mexico,43280.73,43153.17,43046.35,42944.27,42830.84,42692.86,42572.51,42426.87,42303.31,42114.45,42002.64,41877.01,41759.17,41610.97,41495.45
巴布亞新幾內亞,Papua New Guinea,39911.2,39878.6,39840.67,39818.5,39777.98,39750.85,39711.59,39677.32,39627.84,39593.57,39545.65,39508.67,39457.53,39418.16,39344.81
緬甸,Myanmar,39139.13,39072.03,39028.04,38976.67,38908.67,38847.05,38763.1,38665.68,38586.56,38442.68,38329.21,38238.68,38089.92,37926.89,37709.53
印度,India,36160.46,36114.88,36079.58,36047.87,35998.62,35957.13,35912.59,35863.97,35807.23,35754.9,35720.91,35663.12,35600.23,35546.82,35455.57
