County_Ch,Country_En,over10,over15,over20,over25,over30,over50,over75
印尼,Indonesia,165441765.6,163976716.7,163119604.9,162218886.1,160974919.4,155385645.5,141185875.8
巴西,Brazil,548443421.7,541492405.5,532402419.6,526622625.4,519187505.2,475688329.3,429233680.8
中國,China,189014081.1,179441169.2,175547018,170164178.1,162739064.4,131366656.7,61891727.29
墨西哥,Mexico,63724561.71,60317278.06,57511256.87,55233133.73,53185271.1,42132451.69,29501004.24
秘魯,Peru,79062782.21,78702682.52,78435701.01,78234343.11,78069281.28,76814349.41,74458759.82
哥倫比亞,Colombia,84482106.28,83621361.67,82904006.43,82449764.08,81781025.75,78295179.71,72170680.23
美國,United States,314964844.2,303021225,293871016.6,287035386.1,279376624.2,244567017.7,198290232.7
剛果民主共和國,Democratic Republic of the Congo,"227,683,907","226,087,783","214,373,402","211,285,429","199,224,308","164,361,630","119,049,201"
印度,India,49071700.26,44937294.34,43684630.16,41719196.5,38813138.45,30450063.06,16782932.13
肯亞,Kenya,11005205.6,7584333.202,4292245.203,3975188.326,3319482.42,1891471.278,963684.6437
阿根廷,Argentina,43380536.87,42376954.44,41252923.66,40144115.83,39086979.34,23116356.32,10594206.9
厄瓜多,Ecuador,19807389.05,19574857.14,19378336.45,19234432.52,19065845.08,17951244.47,15877716.81
委內瑞拉,Venezuela,58856143.42,58220338.39,57548170.69,57118790.74,56533525.12,53746319.2,49368334.97
玻利維亞,Bolivia,66486470.33,66012920.76,65454398.37,65004988.3,64521463.96,57489600.35,47837880.74
坦尚尼亞,Tanzania,65243637.51,54840594.32,36452809.57,34056749.76,26406464.1,9700637.215,1231553.942
澳大利亞,Australia,65957075.2,57579747.22,48248730.48,46665870.33,42309947.78,25737010.48,17788719.98
馬來西亞,Malaysia,29777319.67,29658293.52,29575136.22,29522882.2,29421846.9,28968518.54,27241145.63
喀麥隆,Cameroon,41716440.28,39994162.8,35158677.42,34255064.54,31459331,25260677.41,17481726.59
烏干達,Uganda,18365552.92,15972162.7,10694678.6,9979869.571,7769701.21,3272797.176,849108.2867
泰國,Thailand,21919487.35,21200980.17,20870274.7,20556805.1,19962441.91,17966880.42,11044470.96
俄羅斯,Russia,883847532.5,824066298.9,810020070.8,786058987.6,761227258.9,601268646.5,330492648.6
南非共和國,South Africa,22212926.33,13481072.11,7708859.518,7121247.445,5983115.079,3163002.03,1082118.828
緬甸,Myanmar,45081506.32,44218973.8,43926415.26,43576683.88,42859651.12,39790019.46,27442261.02
越南,Vietnam,"18,172,021","17,562,797","17,264,997","17,010,949","16,576,205","14,782,764","10,695,831"
奈及利亞,Nigeria,42579111.23,26694185.26,13974174.42,12938577.54,10048732.02,4725124.779,315625.6912
安哥拉,Angola,95951382.89,82808320.07,65957912.88,63356653.83,55315324.47,31934712.84,3787967.269
衣索比亞,Ethiopia,31135077.74,25291732.39,16513114.2,15478476.35,12040336.38,5425719.976,2039861.861
巴布亞新幾內亞,Papua New Guinea,43708040.79,43427170.42,43288480.7,43157489.75,42938236.99,41992853.96,39663962.83
迦納,Ghana,18330610.69,13282023.9,8230695.031,7919664.961,6955668.346,4253663.003,207294.3789
象牙海岸,Côte d'Ivoire,30924772.99,27248335.5,18910349.44,17992977.07,14872640.2,6357504.564,511082.7022
巴拿馬,Panama,5942133.707,5871667.382,5807149.794,5763631.284,5700499.758,5454716.707,4969309.435
莫三比克,Mozambique,70942085.59,59489288.7,39859114.54,37162148.41,28917947.27,10493859.9,341593.0101
蓋亞那,Guyana,19068840.92,19051730.8,19030637.47,19010115.21,18996031.44,18900465.27,18768613.75
尚比亞,Zambia,61144224.26,51039987.31,34095337.87,31614612.63,24087575.54,9196113.862,42893.74636
馬達加斯加,Madagascar,33190888.45,26503412.89,19454928.3,18656020.9,17141085.12,12241379.24,5863677.958
哥斯大黎加,Costa Rica,4105281.057,4046803.995,3994046.949,3960009.259,3913049.092,3684714.859,3118550.739
幾內亞,Guinea,22567097.94,19376714.93,12426850.78,11347596.38,8159637.372,2155937.691,182015.12
瓜地馬拉,Guatemala,8273453.603,8108011.648,7949440.963,7822918.356,7693456.322,6951962.831,5756629.988
寮國,Laos,19789295.08,19545855.85,19430060.6,19305226.32,19118455.02,18114850.17,14490562.54
宏都拉斯,Honduras,8440306.182,8254434.059,8047225.355,7883572.329,7740482.354,6696598.125,5266739.826
蘇利南,Suriname,13982210.15,13972087.33,13964162.36,13955326.05,13949809.34,13913266.53,13856534.47
法屬圭亞那,French Guiana,8170479.07,8168548.894,8166630.465,8164372.024,8162751.469,8153381.702,8131836.192
尼加拉瓜,Nicaragua,8389068.037,8211339.983,8037769.542,7919891.937,7776806.696,7067161.757,5828861.34
加拿大,Canada,469568054.8,448824141.8,437098734.5,431009884.4,418066969.3,324180950.6,216719268.9
辛巴威,Zimbabwe,18375342.03,8876163.202,2937862.342,2410471.38,1414326.498,293242.2073,79970.7919
剛果,Republic of Congo,"33,515,798","32,477,965","29,285,884","28,568,094","26,384,046","23,941,472","21,417,400"
巴基斯坦,Pakistan,1629948.876,1291321.882,1222965.43,1074605.365,978655.9536,666940.2476,334857.674
菲律賓,Philippines,19798521.59,19384343.84,19165121,18993927.57,18599416.52,17415156.34,14110099.63
