Country_Ch,Country_En,2001>10%,2001>15%,2001>20%,2001>25%,2001>30%,2001>50%,2001>75%,2002>10%,2002>15%,2002>20%,2002>25%,2002>30%,2002>50%,2002>75%,2003>10%,2003>15%,2003>20%,2003>25%,2003>30%,2003>50%,2003>75%,2004>10%,2004>15%,2004>20%,2004>25%,2004>30%,2004>50%,2004>75%,2005>10%,2005>15%,2005>20%,2005>25%,2005>30%,2005>50%,2005>75%,2006>10%,2006>15%,2006>20%,2006>25%,2006>30%,2006>50%,2006>75%,2007>10%,2007>15%,2007>20%,2007>25%,2007>30%,2007>50%,2007>75%,2008>10%,2008>15%,2008>20%,2008>25%,2008>30%,2008>50%,2008>75%,2009>10%,2009>15%,2009>20%,2009>25%,2009>30%,2009>50%,2009>75%,2010>10%,2010>15%,2010>20%,2010>25%,2010>30%,2010>50%,2010>75%,2011>10%,2011>15%,2011>20%,2011>25%,2011>30%,2011>50%,2011>75%,2012>10%,2012>15%,2012>20%,2012>25%,2012>30%,2012>50%,2012>75%,2013>10%,2013>15%,2013>20%,2013>25%,2013>30%,2013>50%,2013>75%,2014>10%,2014>15%,2014>20%,2014>25%,2014>30%,2014>50%,2014>75%,2015>10%,2015>15%,2015>20%,2015>25%,2015>30%,2015>50%,2015>75%,2016>10%,2016>15%,2016>20%,2016>25%,2016>30%,2016>50%,2016>75%
印尼,Indonesia,749432.71 ,860732.54 ,547100.46 ,1295823.42 ,1188197.01 ,1441156.10 ,1394595.10 ,860732.54 ,859727.54 ,858527.48 ,857751.23 ,856936.11 ,847304.11 ,793880.09 ,547100.46 ,546645.37 ,546108.77 ,545773.38 ,545404.59 ,541066.44 ,513414.07 ,1295823.42 ,1294359.07 ,1292720.35 ,1291663.02 ,1290537.63 ,1276394.56 ,1196576.84 ,1188197.01 ,1186880.26 ,1185760.09 ,1184941.93 ,1184009.50 ,1172468.64 ,1106583.53 ,1441156.10 ,1439239.56 ,1437443.44 ,1436273.64 ,1434927.35 ,1416518.92 ,1315300.15 ,1394595.10 ,1392882.23 ,1391107.93 ,1390181.26 ,1388842.29 ,1372758.64 ,1281770.44 ,1401767.37 ,1400450.27 ,1399072.00 ,1398282.29 ,1397191.06 ,1382740.21 ,1293150.34 ,1951764.38 ,1950219.34 ,1948745.27 ,1947813.94 ,1946569.63 ,1929041.69 ,1815726.90 ,1283125.43 ,1282441.25 ,1281706.42 ,1281281.71 ,1280668.52 ,1272403.78 ,1213520.26 ,1549772.48 ,1548252.86 ,1546887.26 ,1545969.54 ,1544771.87 ,1531200.77 ,1455766.13 ,2273412.42 ,2270307.89 ,2266717.42 ,2264882.11 ,2262188.91 ,2236586.79 ,2102787.01 ,1154547.80 ,1150413.17 ,1146446.67 ,1144070.37 ,1140026.51 ,1114607.58 ,1000756.36 ,1927290.53 ,1918622.88 ,1910685.05 ,1905693.38 ,1896868.70 ,1842704.30 ,1615122.83 ,1775428.55 ,1767646.32 ,1760786.35 ,1756499.70 ,1748412.93 ,1699082.73 ,1481827.15 ,2461955.93 ,2450978.01 ,2441909.64 ,2435671.78 ,2424127.65 ,2353377.52 ,2042878.90 
巴西,Brazil,548443421.67 ,541492405.47 ,532402419.64 ,526622625.36 ,519187505.24 ,475688329.32 ,429233680.78 ,3571007.31 ,3557017.69 ,3538089.81 ,3524428.39 ,3507049.44 ,3259111.78 ,2819380.02 ,3316999.45 ,3300984.37 ,3280973.02 ,3266999.36 ,3248526.73 ,2971953.29 ,2533329.94 ,3926870.77 ,3908195.71 ,3886567.65 ,3871265.19 ,3848770.79 ,3554955.29 ,3103760.36 ,3539437.63 ,3527422.02 ,3512462.97 ,3500862.15 ,3486562.70 ,3271826.77 ,2895020.52 ,2934803.28 ,2921468.12 ,2904453.51 ,2891195.46 ,2876804.67 ,2644934.90 ,2310271.82 ,2680946.38 ,2667224.82 ,2650383.21 ,2637282.96 ,2621820.24 ,2370608.33 ,1984615.56 ,2500573.90 ,2487269.53 ,2471777.84 ,2459078.65 ,2444308.19 ,2211986.16 ,1902279.62 ,1860174.17 ,1849987.79 ,1838505.46 ,1829956.20 ,1817901.23 ,1608447.09 ,1348291.30 ,2753204.21 ,2738237.55 ,2720400.05 ,2705582.11 ,2688896.18 ,2411940.08 ,2036706.84 ,1970079.93 ,1960178.19 ,1947607.40 ,1937607.81 ,1923363.69 ,1720220.77 ,1453888.26 ,3023514.17 ,3002269.03 ,2973626.66 ,2949943.45 ,2918633.14 ,2579923.35 ,2109059.99 ,2047521.12 ,2026976.83 ,1998269.61 ,1977760.84 ,1945506.25 ,1712476.89 ,1408857.90 ,2845015.81 ,2813938.83 ,2771708.86 ,2740442.79 ,2693134.30 ,2368689.88 ,1922330.62 ,2343958.79 ,2319837.96 ,2286109.04 ,2261281.62 ,2222772.42 ,1955191.15 ,1591478.83 ,5564566.06 ,5526712.63 ,5474040.82 ,5435241.16 ,5378844.03 ,4980660.55 ,4397951.97 
中國,China,189014081.14 ,179441169.21 ,175547018.03 ,170164178.12 ,162739064.38 ,131366656.67 ,61891727.29 ,253529.75 ,252007.13 ,251220.59 ,250067.08 ,249146.90 ,231132.42 ,153445.66 ,267124.19 ,265212.16 ,264374.83 ,262920.60 ,261754.30 ,240811.72 ,131414.18 ,511329.87 ,507923.93 ,506430.39 ,503702.65 ,501510.28 ,461602.55 ,275495.69 ,389738.20 ,387648.37 ,386503.91 ,384798.51 ,383580.45 ,359065.43 ,235726.46 ,587890.61 ,583445.51 ,581333.20 ,577881.90 ,575223.35 ,525796.52 ,332107.33 ,664302.43 ,660488.98 ,658309.70 ,655113.27 ,652945.34 ,613951.36 ,432313.31 ,747319.88 ,744207.15 ,742368.45 ,739757.26 ,737947.78 ,701984.02 ,512047.49 ,610988.21 ,607190.60 ,604945.53 ,601754.23 ,599570.68 ,561609.66 ,385011.74 ,639385.53 ,635343.94 ,633122.10 ,629990.37 ,627788.05 ,589887.81 ,418630.15 ,611624.77 ,607250.18 ,604809.88 ,601374.40 ,598560.37 ,562933.75 ,401429.91 ,627567.67 ,620159.57 ,616258.30 ,610888.74 ,604939.70 ,555302.43 ,381839.70 ,485081.95 ,471546.69 ,463938.84 ,454253.22 ,441290.64 ,377411.13 ,201718.42 ,583203.91 ,568036.57 ,558532.01 ,547237.02 ,531599.66 ,449469.99 ,227780.08 ,541313.59 ,526335.13 ,517249.52 ,506273.44 ,490431.39 ,411607.85 ,206574.18 ,807557.17 ,780766.54 ,764789.75 ,745842.50 ,718643.37 ,589217.33 ,287426.49 
墨西哥,Mexico,63724561.71 ,60317278.06 ,57511256.87 ,55233133.73 ,53185271.10 ,42132451.69 ,29501004.24 ,162544.36 ,161587.13 ,160714.25 ,159855.91 ,158834.13 ,145678.35 ,118993.49 ,155833.25 ,155067.00 ,154296.56 ,153422.86 ,152559.30 ,140227.74 ,109401.60 ,174170.53 ,173111.27 ,172043.88 ,170990.58 ,169841.45 ,154228.93 ,119975.86 ,212726.98 ,211396.23 ,209961.62 ,208506.19 ,206855.72 ,187027.22 ,143397.87 ,184196.45 ,182908.47 ,181715.70 ,180332.30 ,179043.67 ,163615.96 ,131751.19 ,223882.94 ,222577.44 ,221316.11 ,220068.14 ,218600.75 ,197894.84 ,152068.99 ,188813.80 ,187771.76 ,186655.96 ,185505.83 ,184377.25 ,168049.66 ,134447.90 ,287485.64 ,286193.99 ,284631.62 ,282912.05 ,281232.45 ,258812.36 ,207333.60 ,170271.69 ,169438.67 ,168552.86 ,167770.81 ,166728.99 ,152008.00 ,123379.52 ,190781.91 ,189821.86 ,188829.24 ,187883.91 ,186771.30 ,171847.35 ,140409.87 ,179502.41 ,178276.92 ,177085.36 ,176088.42 ,174753.06 ,161228.70 ,131554.05 ,228385.17 ,225637.16 ,223137.51 ,221322.17 ,219047.75 ,202951.87 ,161578.62 ,179457.82 ,176772.96 ,174437.82 ,172728.88 ,170749.77 ,157509.36 ,123561.00 ,206824.92 ,203822.40 ,201361.89 ,199668.08 ,197650.95 ,184992.21 ,151246.93 ,287251.94 ,283245.51 ,279850.00 ,277458.92 ,274182.58 ,253141.35 ,199797.57 
秘魯,Peru,79062782.21 ,78702682.52 ,78435701.01 ,78234343.11 ,78069281.28 ,76814349.41 ,74458759.82 ,80664.23 ,80619.87 ,80557.72 ,80509.15 ,80456.70 ,79691.33 ,78014.85 ,74050.59 ,74009.99 ,73956.15 ,73917.47 ,73870.16 ,73212.42 ,71700.71 ,101525.72 ,101477.98 ,101415.19 ,101372.61 ,101323.77 ,100628.78 ,98863.15 ,163299.26 ,163240.16 ,163158.01 ,163103.84 ,163024.21 ,161951.86 ,158639.02 ,89093.05 ,89051.56 ,89003.32 ,88970.83 ,88925.72 ,88293.79 ,86575.10 ,115910.54 ,115874.80 ,115828.43 ,115796.46 ,115753.00 ,115103.55 ,113443.51 ,126794.46 ,126758.32 ,126704.05 ,126668.02 ,126618.31 ,125948.89 ,124278.92 ,178166.29 ,178111.35 ,178043.78 ,177990.94 ,177919.78 ,176957.78 ,174460.86 ,142514.41 ,142471.62 ,142419.45 ,142384.82 ,142330.44 ,141535.75 ,139583.81 ,125485.33 ,125440.77 ,125385.01 ,125343.82 ,125284.92 ,124567.39 ,122735.21 ,276081.93 ,275926.86 ,275748.31 ,275633.18 ,275468.96 ,273546.90 ,268387.58 ,210460.89 ,210141.15 ,209831.81 ,209578.52 ,209353.28 ,207125.12 ,201813.33 ,206591.67 ,206258.49 ,205956.20 ,205745.72 ,205478.25 ,203220.71 ,196944.67 ,167215.60 ,167021.44 ,166844.85 ,166704.36 ,166522.68 ,164834.17 ,159744.91 ,232281.59 ,231939.20 ,231598.63 ,231334.77 ,230977.38 ,228062.22 ,219565.64 
哥倫比亞,Colombia,84482106.28 ,83621361.67 ,82904006.43 ,82449764.08 ,81781025.75 ,78295179.71 ,72170680.23 ,183016.86 ,182824.04 ,182557.07 ,182352.67 ,182041.60 ,178527.77 ,166115.31 ,123384.52 ,123184.63 ,122897.65 ,122632.17 ,122305.14 ,118229.54 ,103863.06 ,255130.39 ,254842.06 ,254380.42 ,254032.92 ,253530.94 ,247945.02 ,227452.27 ,189724.11 ,189503.63 ,189188.75 ,188932.07 ,188565.42 ,184288.57 ,169250.87 ,191042.58 ,190805.20 ,190465.43 ,190185.40 ,189789.91 ,185027.81 ,169022.68 ,270611.10 ,270292.88 ,269810.18 ,269430.61 ,268856.66 ,262448.73 ,241180.48 ,233000.05 ,232727.95 ,232366.82 ,232075.45 ,231669.19 ,226872.24 ,209529.03 ,239398.76 ,239074.46 ,238609.42 ,238253.91 ,237740.18 ,231655.94 ,211711.08 ,197958.40 ,197766.72 ,197476.74 ,197262.28 ,196921.41 ,193430.66 ,182273.44 ,190644.18 ,190463.65 ,190215.92 ,190025.48 ,189719.47 ,186460.80 ,175863.64 ,229540.28 ,229103.06 ,228559.50 ,228116.81 ,227481.42 ,221776.88 ,204740.38 ,140759.82 ,140231.04 ,139736.40 ,139316.72 ,138750.10 ,135311.61 ,127032.90 ,205615.04 ,204597.75 ,203668.60 ,202930.74 ,201836.88 ,195618.53 ,180880.09 ,143157.74 ,142525.21 ,141884.56 ,141410.16 ,140671.99 ,136720.82 ,126019.98 ,295985.63 ,294516.55 ,293143.10 ,292197.84 ,290627.05 ,282661.65 ,260664.62 
美國,United States,314964844.16 ,303021224.99 ,293871016.60 ,287035386.07 ,279376624.23 ,244567017.67 ,198290232.65 ,2101488.66 ,2088410.75 ,2074939.10 ,2058418.58 ,2038435.64 ,1870736.07 ,1621689.56 ,1684367.31 ,1676951.44 ,1669269.54 ,1662286.44 ,1649383.91 ,1544225.47 ,1341053.93 ,2823290.91 ,2804373.50 ,2786686.75 ,2772940.16 ,2746257.34 ,2458621.19 ,1997022.87 ,2756923.45 ,2741439.55 ,2726187.32 ,2715390.83 ,2691544.18 ,2434772.77 ,1934135.41 ,2659957.74 ,2645761.43 ,2634271.38 ,2625361.96 ,2605855.55 ,2416773.61 ,2000229.26 ,2484973.21 ,2474683.80 ,2463411.34 ,2453019.60 ,2435127.93 ,2307143.62 ,2034874.26 ,2241632.08 ,2236385.60 ,2229773.74 ,2223762.27 ,2213723.54 ,2136146.74 ,1960757.12 ,1634714.00 ,1630021.81 ,1623224.40 ,1618083.50 ,1608980.96 ,1521998.44 ,1382962.96 ,2190012.18 ,2186011.47 ,2179680.57 ,2174743.95 ,2167662.19 ,2008152.21 ,1768439.21 ,1683629.31 ,1679561.93 ,1674709.39 ,1669838.41 ,1663692.30 ,1611291.33 ,1501805.20 ,2005823.14 ,1997287.66 ,1986125.59 ,1975419.37 ,1964094.35 ,1888194.42 ,1752073.85 ,1833351.70 ,1808536.69 ,1783575.08 ,1759892.81 ,1736445.54 ,1571411.03 ,1341924.34 ,1836703.55 ,1812519.37 ,1783556.97 ,1759671.71 ,1736526.81 ,1607381.25 ,1426387.18 ,2421903.21 ,2381108.96 ,2346840.32 ,2322490.75 ,2289649.18 ,1957748.42 ,1468890.52 ,2406714.59 ,2369629.36 ,2328082.74 ,2296655.08 ,2264066.75 ,2058804.78 ,1746266.70 
剛果民主共和國,Democratic Republic of the Congo,227683906.57 ,226087782.90 ,214373401.62 ,211285429.05 ,199224308.16 ,164361629.68 ,119049200.77 ,525401.94 ,524749.29 ,520229.67 ,519073.23 ,514282.54 ,480975.46 ,368829.42 ,284500.91 ,284027.31 ,280179.84 ,279150.41 ,274632.46 ,245832.20 ,167680.22 ,409146.76 ,408503.14 ,405030.93 ,404067.69 ,400048.02 ,375129.71 ,286376.72 ,498891.31 ,497990.32 ,492686.46 ,491248.11 ,485217.90 ,450394.19 ,354218.70 ,462879.43 ,462193.65 ,458118.45 ,457100.80 ,453035.31 ,429893.98 ,346176.24 ,478221.53 ,477209.97 ,470986.38 ,469430.59 ,462704.80 ,425671.96 ,329629.65 ,414409.33 ,413703.99 ,410093.91 ,409093.78 ,404791.04 ,374810.73 ,289107.64 ,655355.45 ,653557.46 ,645164.03 ,643119.08 ,635134.29 ,589004.56 ,469071.79 ,840497.44 ,838888.66 ,826268.09 ,823076.13 ,810282.36 ,747199.41 ,571006.54 ,438719.94 ,438146.07 ,434659.93 ,433647.58 ,429369.17 ,399730.68 ,297629.34 ,648228.92 ,647090.06 ,639992.16 ,638136.59 ,630701.79 ,573448.26 ,422006.94 ,952062.08 ,949990.72 ,936915.10 ,933650.39 ,920508.54 ,863567.16 ,681803.01 ,1380032.38 ,1377193.97 ,1360204.71 ,1355736.15 ,1337532.59 ,1255565.67 ,914134.54 ,951365.75 ,950438.45 ,941314.92 ,938443.87 ,927932.05 ,878635.36 ,661403.71 ,1412114.35 ,1410502.89 ,1397034.35 ,1393659.65 ,1381064.90 ,1315738.68 ,997369.36 
印度,India,49071700.26 ,44937294.34 ,43684630.16 ,41719196.50 ,38813138.45 ,30450063.06 ,16782932.13 ,54636.05 ,54043.93 ,53723.81 ,53226.42 ,52998.62 ,48493.35 ,35961.81 ,49332.15 ,48782.49 ,48497.64 ,47968.30 ,47740.65 ,43319.74 ,31504.87 ,76804.49 ,75789.88 ,75316.95 ,74476.23 ,74109.84 ,66964.74 ,49117.35 ,64586.02 ,63795.10 ,63394.85 ,62787.85 ,62491.37 ,56553.03 ,41300.26 ,69883.22 ,68971.74 ,68499.57 ,67708.67 ,67348.25 ,60155.33 ,42888.48 ,76675.93 ,75630.34 ,75102.41 ,74269.44 ,73869.54 ,66105.56 ,44616.56 ,89153.33 ,87971.51 ,87356.41 ,86382.03 ,85904.25 ,77232.67 ,53446.72 ,82377.06 ,81170.10 ,80588.02 ,79641.89 ,79158.51 ,71258.89 ,49117.88 ,52777.73 ,52151.18 ,51821.22 ,51432.19 ,51199.41 ,46774.78 ,33748.88 ,93670.68 ,91624.16 ,90769.98 ,89236.29 ,88380.50 ,76006.23 ,48306.25 ,100791.38 ,98748.12 ,97715.97 ,96433.56 ,95016.13 ,83429.04 ,56863.42 ,88736.04 ,86184.54 ,84787.71 ,83474.53 ,80811.15 ,70267.98 ,39901.41 ,150742.19 ,146846.82 ,144892.11 ,142997.54 ,138952.12 ,121808.90 ,66278.44 ,124261.64 ,121488.83 ,120150.89 ,118879.03 ,116102.82 ,104342.45 ,61996.22 ,188433.30 ,183946.59 ,181677.23 ,179542.03 ,175003.70 ,156053.28 ,92414.22 
肯亞,Kenya,11005205.60 ,7584333.20 ,4292245.20 ,3975188.33 ,3319482.42 ,1891471.28 ,963684.64 ,24330.66 ,23310.12 ,21377.84 ,21147.88 ,20287.53 ,17631.22 ,13516.99 ,20793.62 ,18541.75 ,15067.49 ,14674.76 ,13552.81 ,10606.19 ,6913.67 ,21877.61 ,20950.72 ,18533.90 ,18183.80 ,16988.33 ,12941.50 ,8811.03 ,22656.30 ,18974.30 ,14608.00 ,14147.75 ,12745.43 ,9343.91 ,5854.68 ,26666.21 ,24829.79 ,22178.16 ,21818.89 ,20656.44 ,16719.49 ,11074.98 ,31613.91 ,30406.22 ,27814.53 ,27435.50 ,26102.96 ,21372.77 ,14304.43 ,25937.56 ,24424.99 ,21165.74 ,20670.05 ,19224.21 ,14237.34 ,8189.62 ,27248.38 ,24245.19 ,19840.51 ,19265.15 ,17696.13 ,12811.79 ,6478.34 ,26317.63 ,25573.86 ,23894.27 ,23615.10 ,22693.01 ,18997.58 ,12832.59 ,22437.20 ,21375.37 ,18846.21 ,18489.21 ,17299.76 ,13312.73 ,7415.09 ,25782.99 ,23316.59 ,19609.50 ,19127.71 ,17899.14 ,14031.55 ,8440.52 ,23788.25 ,21353.03 ,15950.83 ,15156.19 ,13563.77 ,8842.39 ,4445.30 ,26628.55 ,23306.96 ,17827.42 ,16911.68 ,15356.84 ,10042.72 ,4822.43 ,20275.01 ,19316.79 ,16949.67 ,16483.60 ,15615.50 ,11426.54 ,6452.35 ,28830.82 ,27216.65 ,21858.11 ,20881.18 ,19048.31 ,12504.73 ,6831.71 
